age,gender,height_cm,current_weight,bmi,goal,daily_water_ml,weekly_workouts,weekly_workout_duration,weekly_calories_burned,predicted_weight_after_30_days
47,Female,151,122.0,53.5,General Fitness,3289,2,220,1542,122.3
54,Female,199,80.4,20.3,Weight Loss,2686,5,380,4745,76.0
40,Female,183,62.2,18.6,Weight Loss,1062,5,525,3550,58.2
56,Male,186,91.2,26.4,General Fitness,3713,6,438,3210,91.6
32,Female,192,94.9,25.7,Maintenance,1508,4,196,3380,95.5
60,Female,170,93.8,32.5,Weight Loss,1187,0,0,0,92.4
46,Female,184,96.5,28.5,Maintenance,3782,7,630,3787,96.8
53,Female,153,134.9,57.6,Maintenance,1092,5,330,2685,134.3
30,Male,185,130.2,38.0,Muscle Gain,1004,1,113,679,132.0
49,Male,178,127.6,40.3,Maintenance,4509,6,486,1446,127.1
24,Female,189,120.1,33.6,Maintenance,4237,6,624,1638,118.5
39,Female,157,134.3,54.5,Weight Loss,4517,2,182,442,133.5
45,Male,199,49.8,12.6,Maintenance,3072,6,570,2514,49.9
19,Male,199,66.5,16.8,Maintenance,3555,2,106,556,67.5
59,Female,180,89.5,27.6,Muscle Gain,1097,4,436,1736,89.5
23,Female,169,124.7,43.7,Muscle Gain,2291,4,164,1424,126.3
45,Male,168,90.5,32.1,Weight Loss,3709,6,270,3156,86.6
45,Male,188,114.8,32.5,Weight Loss,4464,0,0,0,114.6
37,Male,161,53.9,20.8,Muscle Gain,2787,2,62,1614,55.6
47,Male,146,65.2,30.6,Muscle Gain,4667,2,236,1682,66.3
28,Male,157,113.2,45.9,General Fitness,2308,1,91,820,113.3
45,Male,175,56.5,18.4,Maintenance,1683,0,0,0,56.4
42,Female,173,75.1,25.1,Weight Loss,4804,0,0,0,74.6
56,Male,194,66.5,17.7,Weight Loss,2132,5,515,2900,64.0
50,Male,172,75.0,25.4,Maintenance,1026,4,464,876,75.0
18,Male,171,110.8,37.9,Maintenance,2781,5,300,4360,110.3
44,Male,159,76.8,30.4,Weight Loss,3102,7,784,2856,73.8
30,Female,175,95.5,31.2,Muscle Gain,4204,0,0,0,97.4
58,Female,184,50.0,14.8,Muscle Gain,4123,6,504,4758,50.7
20,Male,159,120.5,47.7,Maintenance,4564,1,62,815,120.1
56,Female,177,77.0,24.6,Weight Loss,4836,6,660,5688,73.1
23,Female,164,104.9,39.0,Maintenance,1780,6,486,5826,105.3
25,Female,186,112.5,32.5,Muscle Gain,3345,0,0,0,112.1
44,Female,156,61.0,25.1,General Fitness,4470,5,510,3860,61.3
26,Female,181,128.5,39.2,General Fitness,2614,3,201,711,128.3
54,Female,153,101.6,43.4,Muscle Gain,2041,6,192,1902,102.9
50,Male,167,82.9,29.7,Maintenance,3865,6,498,3534,82.9
59,Male,152,58.2,25.2,General Fitness,2793,3,285,2637,57.7
41,Male,176,134.2,43.3,Muscle Gain,1854,1,47,576,135.9
32,Male,192,115.5,31.3,Weight Loss,2642,4,464,2300,112.5
49,Male,158,60.8,24.4,Maintenance,2932,2,224,1560,61.4
49,Female,171,73.8,25.2,Maintenance,3026,0,0,0,73.0
41,Male,169,121.0,42.4,General Fitness,2987,5,320,4730,121.7
58,Male,157,109.6,44.5,Maintenance,3606,7,791,1687,109.8
29,Female,199,116.6,29.4,General Fitness,2269,4,452,3240,116.8
56,Female,165,84.1,30.9,General Fitness,3550,5,560,3345,84.4
19,Male,189,111.6,31.2,Muscle Gain,2112,4,436,2628,111.9
20,Female,175,78.6,25.7,General Fitness,3250,0,0,0,79.5
54,Female,181,61.1,18.7,Weight Loss,3993,2,178,454,59.7
34,Female,192,103.3,28.0,Maintenance,1239,0,0,0,103.2
19,Female,187,137.6,39.3,General Fitness,1489,2,136,1880,138.2
19,Male,198,71.1,18.1,Maintenance,4851,5,205,4140,70.5
45,Female,149,86.1,38.8,General Fitness,2036,1,82,525,86.7
40,Male,157,107.4,43.6,Muscle Gain,3696,2,186,1416,108.2
54,Male,172,94.2,31.8,Weight Loss,2338,7,231,5726,90.8
49,Female,187,124.3,35.5,Maintenance,3036,4,136,2096,124.0
50,Female,169,116.2,40.7,Muscle Gain,1684,1,45,359,116.4
18,Female,195,45.8,12.0,Maintenance,4813,5,280,3575,46.1
36,Male,179,139.8,43.6,Muscle Gain,4269,3,99,2580,140.0
19,Female,191,115.2,31.6,Weight Loss,3026,1,101,945,113.9
43,Female,183,126.4,37.7,General Fitness,3290,2,154,906,126.4
49,Female,151,105.1,46.1,Muscle Gain,3554,7,259,3129,105.4
23,Female,182,125.6,37.9,Maintenance,4114,1,110,552,124.9
49,Female,176,51.2,16.5,Maintenance,4401,7,525,4179,50.1
21,Male,147,74.8,34.6,Muscle Gain,4862,7,511,5467,75.1
28,Female,189,127.6,35.7,Weight Loss,2614,5,480,2010,125.4
34,Female,183,60.2,18.0,Weight Loss,4500,1,81,501,58.6
55,Female,181,47.8,14.6,General Fitness,4862,5,315,1735,47.9
41,Male,199,118.8,30.0,General Fitness,2767,3,273,1260,119.2
22,Female,194,123.5,32.8,Maintenance,1612,2,100,1794,123.2
51,Male,166,56.3,20.4,Maintenance,1161,6,318,4554,56.2
23,Male,152,125.4,54.3,General Fitness,1655,4,292,1848,124.7
39,Female,161,108.7,41.9,General Fitness,4006,1,70,495,107.6
28,Female,196,92.0,23.9,General Fitness,1620,6,348,3084,91.7
33,Female,171,123.0,42.1,Muscle Gain,4506,0,0,0,123.6
50,Male,177,81.9,26.1,General Fitness,2256,4,340,3532,82.2
26,Male,190,59.4,16.5,Muscle Gain,3158,1,43,230,59.4
23,Male,161,68.5,26.4,Muscle Gain,2951,4,316,3524,68.8
33,Male,186,90.5,26.2,General Fitness,3981,6,642,1458,90.6
46,Male,156,93.1,38.3,Weight Loss,2255,0,0,0,91.9
20,Male,192,120.6,32.7,Weight Loss,2975,4,468,1332,118.0
37,Female,190,119.1,33.0,Maintenance,1749,6,636,3288,119.0
53,Female,171,98.1,33.5,General Fitness,1708,4,120,1672,97.8
36,Male,192,118.1,32.0,Maintenance,3320,0,0,0,118.4
43,Female,152,59.2,25.6,General Fitness,2621,7,371,4921,59.9
20,Female,167,45.0,16.1,Maintenance,3854,0,0,0,45.5
36,Male,186,127.4,36.8,Muscle Gain,1040,0,0,0,127.5
37,Male,193,47.6,12.8,General Fitness,1559,7,693,3248,48.2
49,Female,173,64.7,21.6,Weight Loss,1465,7,735,5054,61.0
24,Male,194,109.5,29.1,General Fitness,4995,3,342,837,109.3
58,Male,164,80.9,30.1,Maintenance,2100,5,160,4100,81.1
50,Female,160,127.6,49.8,Maintenance,2713,5,280,3300,128.4
57,Male,161,69.8,26.9,Maintenance,1489,6,492,4974,69.3
56,Female,160,41.2,16.1,Maintenance,4840,0,0,0,40.3
35,Female,163,70.1,26.4,Maintenance,1116,6,264,1302,70.2
57,Female,200,97.8,24.4,Maintenance,3481,5,340,2275,97.7
18,Female,200,77.6,19.4,Weight Loss,4090,4,132,1776,75.2
28,Female,152,93.5,40.5,Maintenance,4041,0,0,0,93.9
45,Male,182,127.7,38.6,Weight Loss,2594,7,280,5656,123.1
42,Male,182,131.2,39.6,General Fitness,1195,1,41,699,131.3
40,Male,197,66.6,17.2,Muscle Gain,1618,0,0,0,66.7
48,Male,173,86.2,28.8,Weight Loss,2474,7,392,6279,81.5
47,Female,185,94.9,27.7,General Fitness,3472,0,0,0,95.1
59,Female,180,134.9,41.6,Muscle Gain,4465,5,360,1570,135.1
52,Male,170,139.9,48.4,Weight Loss,2307,6,468,5712,135.6
24,Female,175,63.5,20.7,Weight Loss,1033,2,204,1936,61.3
33,Male,188,112.7,31.9,General Fitness,3342,4,288,2584,112.1
43,Male,156,77.8,32.0,Maintenance,4054,7,224,3864,77.2
19,Male,199,40.8,10.3,Weight Loss,2274,7,406,5768,40.8
18,Female,161,40.9,15.8,Weight Loss,4709,7,798,5180,41.0
29,Female,159,86.1,34.1,General Fitness,1338,5,320,2605,86.8
22,Female,153,88.8,37.9,Maintenance,3665,6,462,3948,88.5
54,Female,183,42.3,12.6,Muscle Gain,4511,6,618,2550,43.9
49,Male,186,108.7,31.4,Maintenance,1179,4,464,3820,109.1
26,Female,192,69.4,18.8,Maintenance,1621,6,408,3360,69.4
58,Female,156,96.0,39.4,General Fitness,4299,7,826,5110,95.2
52,Female,176,70.1,22.6,Maintenance,2656,1,53,311,68.8
36,Male,169,56.7,19.9,General Fitness,3666,7,343,2877,56.3
33,Male,183,80.7,24.1,Muscle Gain,1642,3,132,1296,81.2
20,Female,162,63.2,24.1,Weight Loss,3070,2,228,716,62.7
37,Female,159,93.5,37.0,Weight Loss,2680,1,105,771,91.3
41,Female,176,59.9,19.3,General Fitness,2350,1,47,523,59.4
50,Female,150,90.8,40.4,General Fitness,2177,7,623,2044,90.4
41,Male,188,55.7,15.8,Maintenance,1618,4,464,1788,55.8
28,Female,187,107.1,30.6,Maintenance,2169,2,140,1738,106.5
25,Female,196,115.4,30.0,Weight Loss,1251,4,392,1360,113.4
53,Female,179,51.0,15.9,Weight Loss,1301,3,357,1809,48.3
55,Male,178,86.8,27.4,Weight Loss,4141,6,624,5586,82.2
57,Male,182,47.1,14.2,General Fitness,2566,4,160,2412,47.0
37,Female,200,99.8,25.0,Muscle Gain,4164,0,0,0,100.0
52,Female,198,66.4,16.9,Muscle Gain,4720,4,188,3464,67.0
42,Female,149,92.8,41.8,General Fitness,4957,6,246,3678,92.7
52,Female,162,91.7,34.9,Maintenance,3210,0,0,0,92.4
42,Female,160,132.4,51.7,Muscle Gain,4152,1,56,432,133.1
46,Male,152,94.9,41.1,Maintenance,4899,3,138,1176,95.7
35,Male,169,98.3,34.4,Weight Loss,4659,6,684,1788,95.9
35,Male,176,80.2,25.9,Weight Loss,4134,5,300,1560,79.0
19,Female,170,134.9,46.7,Maintenance,1611,0,0,0,135.7
52,Male,196,117.7,30.6,Weight Loss,4507,3,168,2205,115.5
33,Male,166,68.5,24.9,General Fitness,2071,4,464,1920,68.5
58,Male,175,124.4,40.6,Maintenance,3492,5,305,4575,124.1
53,Female,187,83.2,23.8,Maintenance,2943,4,184,2888,83.5
50,Female,154,122.9,51.8,Maintenance,1073,6,240,3294,123.1
21,Male,200,122.3,30.6,Muscle Gain,3873,1,30,515,123.6
50,Female,156,58.9,24.2,Maintenance,2727,6,666,5496,58.9
31,Male,197,110.1,28.4,Maintenance,1541,7,546,4893,109.2
38,Male,172,69.1,23.4,Maintenance,1156,6,420,4416,68.8
37,Male,150,69.7,31.0,Muscle Gain,4558,6,294,5106,71.0
25,Male,164,69.6,25.9,Weight Loss,2289,4,400,3336,66.7
24,Female,149,112.6,50.7,Muscle Gain,1255,0,0,0,113.9
20,Female,167,63.0,22.6,General Fitness,4110,1,45,722,63.2
34,Female,153,40.1,17.1,Maintenance,4126,3,204,2931,41.3
50,Female,173,111.5,37.3,General Fitness,2051,1,74,792,110.5
29,Male,160,57.1,22.3,Muscle Gain,4985,7,651,4501,56.9
39,Female,198,50.4,12.9,Weight Loss,1936,3,228,2460,48.7
39,Male,190,63.8,17.7,Weight Loss,3165,2,104,814,61.4
47,Female,166,78.0,28.3,Maintenance,3417,0,0,0,76.8
55,Female,152,87.6,37.9,Weight Loss,3256,7,546,3325,84.5
55,Female,164,44.5,16.5,Muscle Gain,3634,0,0,0,45.8
25,Male,195,137.1,36.1,Muscle Gain,4648,3,144,2916,138.8
44,Male,158,111.6,44.7,Weight Loss,3896,4,428,1984,109.4
44,Male,183,72.3,21.6,Maintenance,2891,5,480,2865,71.5
51,Male,181,71.9,21.9,Maintenance,4683,4,272,3096,71.9
38,Female,194,84.9,22.6,Muscle Gain,2581,2,236,766,86.3
47,Male,178,102.6,32.4,Weight Loss,1315,3,267,693,101.1
50,Male,155,54.6,22.7,Muscle Gain,4464,2,80,964,55.6
45,Female,198,58.9,15.0,Muscle Gain,3491,3,234,1893,59.0
50,Female,184,125.9,37.2,General Fitness,4739,2,88,1436,125.6
22,Male,177,65.6,20.9,Muscle Gain,2775,3,336,2655,66.2
36,Female,175,78.0,25.5,Maintenance,4936,0,0,0,77.6
21,Male,198,127.1,32.4,Weight Loss,4330,7,504,3969,124.0
52,Female,188,106.3,30.1,Weight Loss,2970,2,88,1714,103.7
34,Male,178,74.2,23.4,General Fitness,4719,2,216,902,74.7
45,Male,194,108.4,28.8,General Fitness,4953,7,756,2555,108.7
47,Male,151,42.0,18.4,Maintenance,2221,3,306,2442,41.9
46,Male,193,113.6,30.5,General Fitness,2722,1,34,904,112.8
23,Male,198,88.7,22.6,Muscle Gain,3675,1,112,728,90.8
52,Female,167,121.3,43.5,Muscle Gain,3492,0,0,0,122.6
58,Male,190,135.5,37.5,Maintenance,1569,4,232,2280,136.1
54,Male,200,132.6,33.2,Weight Loss,3629,4,364,3188,128.5
41,Male,151,130.9,57.4,Maintenance,3652,0,0,0,131.2
46,Male,198,91.2,23.3,General Fitness,3788,4,392,3172,91.5
48,Male,169,76.0,26.6,Weight Loss,1907,7,357,2275,72.1
52,Female,147,86.5,40.0,Weight Loss,1648,5,210,1185,85.2
50,Female,182,109.0,32.9,Weight Loss,2640,7,553,3829,106.1
38,Male,164,128.4,47.7,General Fitness,3352,5,380,2060,128.4
49,Female,178,60.7,19.2,Muscle Gain,1338,5,290,2590,60.8
40,Male,193,131.8,35.4,Muscle Gain,1528,6,654,5616,132.6
50,Female,188,121.5,34.4,General Fitness,3101,6,276,5598,121.5
20,Female,188,137.9,39.0,General Fitness,2135,5,245,3125,137.6
35,Male,174,128.0,42.3,Maintenance,3731,3,321,1338,128.7
42,Female,161,68.0,26.2,Maintenance,2951,1,35,847,67.7
59,Female,154,50.6,21.3,Muscle Gain,1418,0,0,0,51.8
48,Male,179,51.2,16.0,General Fitness,3352,7,266,3010,50.9
20,Male,164,69.1,25.7,Maintenance,4509,3,183,1557,70.0
57,Female,162,101.4,38.6,General Fitness,2679,5,585,3555,101.8
41,Female,189,120.4,33.7,General Fitness,1084,0,0,0,120.8
49,Female,188,129.9,36.8,Muscle Gain,4595,1,106,424,130.9
39,Male,171,102.4,35.0,Muscle Gain,3299,4,396,2820,104.2
40,Female,193,40.6,10.9,General Fitness,2751,3,234,918,40.4
19,Female,180,58.6,18.1,Weight Loss,1125,1,59,898,56.9
44,Female,167,50.0,17.9,Weight Loss,3657,0,0,0,49.1
59,Male,176,76.3,24.6,General Fitness,4975,2,188,1612,76.4
19,Male,154,90.1,38.0,Muscle Gain,3027,3,333,2718,92.4
43,Male,155,44.3,18.4,Weight Loss,2428,7,805,6671,41.6
34,Male,182,74.8,22.6,Muscle Gain,3351,6,714,5646,75.7
57,Female,150,57.9,25.7,Weight Loss,4975,0,0,0,56.3
50,Male,185,104.7,30.6,General Fitness,4099,7,595,1428,104.4
26,Female,191,86.4,23.7,Maintenance,3895,0,0,0,86.8
60,Female,178,89.5,28.2,Maintenance,2289,6,468,4290,89.5
56,Female,180,82.8,25.6,Muscle Gain,4123,1,107,975,83.7
46,Female,181,135.6,41.4,Muscle Gain,3702,7,833,6748,136.4
59,Male,161,61.5,23.7,Weight Loss,1643,7,553,2534,59.3
43,Male,184,91.7,27.1,General Fitness,3905,0,0,0,91.2
52,Male,184,113.6,33.6,Weight Loss,3558,3,243,2190,111.0
42,Male,198,95.7,24.4,General Fitness,3254,5,260,1405,96.2
41,Male,156,132.9,54.6,General Fitness,1573,6,570,4080,133.6
30,Female,165,77.8,28.6,Muscle Gain,3922,3,300,2145,78.8
24,Male,184,86.4,25.5,Maintenance,3558,6,444,5034,86.2
53,Male,163,48.9,18.4,Maintenance,3021,0,0,0,49.3
37,Male,147,100.9,46.7,Muscle Gain,2667,1,57,345,101.7
18,Male,162,68.8,26.2,Maintenance,4624,3,147,1053,69.3
25,Female,197,56.0,14.4,Muscle Gain,3248,2,156,1124,57.1
33,Female,195,94.5,24.9,Weight Loss,4682,5,430,1460,93.4
31,Female,163,93.2,35.1,General Fitness,3870,6,666,1380,92.2
29,Female,191,47.6,13.0,Maintenance,2307,4,468,2956,47.8
40,Female,150,109.8,48.8,Maintenance,4428,1,88,848,109.4
32,Male,160,102.4,40.0,Weight Loss,4118,1,55,801,100.2
45,Female,152,58.9,25.5,Weight Loss,4067,4,192,992,57.1
51,Female,192,86.9,23.6,Maintenance,1136,4,168,1828,87.1
19,Female,162,112.0,42.7,Maintenance,1129,3,309,2151,111.9
49,Male,196,92.9,24.2,Muscle Gain,2218,0,0,0,94.8
40,Male,192,79.5,21.6,Muscle Gain,2017,0,0,0,80.6
39,Female,187,72.2,20.6,Maintenance,4700,2,204,710,73.0
42,Male,183,101.0,30.2,Muscle Gain,4435,5,200,4870,101.9
39,Male,193,133.9,35.9,Weight Loss,1431,6,576,4470,130.8
39,Female,193,107.2,28.8,General Fitness,4140,0,0,0,108.1
59,Male,156,47.5,19.5,Muscle Gain,4529,7,448,3052,48.6
23,Male,189,86.1,24.1,General Fitness,3587,2,136,1698,85.9
32,Male,154,129.1,54.4,Muscle Gain,3382,2,122,1134,129.8
60,Female,151,49.4,21.7,Maintenance,3573,1,43,256,48.3
54,Female,190,138.9,38.5,Muscle Gain,3605,1,94,374,139.6
50,Female,199,134.9,34.1,General Fitness,1908,5,280,2065,134.5
25,Male,145,47.8,22.7,General Fitness,4087,3,267,678,48.1
22,Female,193,133.3,35.8,Maintenance,3013,7,504,2226,134.6
56,Male,180,76.3,23.5,General Fitness,4527,4,376,1384,76.5
21,Male,165,124.5,45.7,Maintenance,3557,4,336,1856,124.3
23,Male,181,81.8,25.0,Maintenance,1208,5,585,3010,82.6
49,Female,196,84.1,21.9,General Fitness,4229,2,220,914,83.8
47,Female,168,103.4,36.6,Weight Loss,4408,5,320,1940,101.4
52,Female,199,117.4,29.6,General Fitness,4810,4,244,3768,116.8
57,Female,169,43.4,15.2,General Fitness,2984,2,96,1396,42.1
33,Male,151,99.3,43.6,Muscle Gain,4312,4,272,3636,100.2
30,Female,186,58.7,17.0,General Fitness,1057,3,147,1314,59.3
59,Male,161,74.6,28.8,Muscle Gain,3007,1,57,526,74.7
47,Female,173,74.8,25.0,Muscle Gain,3863,1,32,269,75.7
